"subcategory","sub_id"
"3D Printing",1
"Academic",2
"Accessories",3
"Action",4
"Animals",5
"Animation",6
"Anthologies",7
"Apparel",8
"Apps",9
"Architecture",10
"Art",11
"Art Books",12
"Audio",13
"Bacon",14
"Blues",15
"Calendars",16
"Camera Equipment",17
"Candles",18
"Ceramics",19
"Children's Books",20
"Childrenswear",21
"Chiptune",22
"Civic Design",23
"Classical Music",24
"Comedy",25
"Comic Books",26
"Comics",27
"Community Gardens",28
"Conceptual Art",29
"Cookbooks",30
"Country & Folk",31
"Couture",32
"Crafts",33
"Crochet",34
"Dance",35
"Design",36
"Digital Art",37
"DIY",38
"DIY Electronics",39
"Documentary",40
"Drama",41
"Drinks",42
"Electronic Music",43
"Embroidery",44
"Events",45
"Experimental",46
"Fabrication Tools",47
"Faith",48
"Family",49
"Fantasy",50
"Farmer's Markets",51
"Farms",52
"Fashion",53
"Festivals",54
"Fiction",55
"Film & Video",56
"Fine Art",57
"Flight",58
"Food",59
"Food Trucks",60
"Footwear",61
"Gadgets",62
"Games",63
"Gaming Hardware",64
"Glass",65
"Graphic Design",66
"Graphic Novels",67
"Hardware",68
"Hip-Hop",69
"Horror",70
"Illustration",71
"Immersive",72
"Indie Rock",73
"Installations",74
"Interactive Design",75
"Jazz",76
"Jewelry",77
"Journalism",78
"Kids",79
"Knitting",80
"Latin",81
"Letterpress",82
"Literary Journals",83
"Live Games",84
"Makerspaces",85
"Metal",86
"Mixed Media",87
"Mobile Games",88
"Movie Theaters",89
"Music",90
"Music Videos",91
"Musical",92
"Narrative Film",93
"Nature",94
"Nonfiction",95
"Painting",96
"People",97
"Performance Art",98
"Performances",99
"Periodicals",100
"Pet Fashion",101
"Photo",102
"Photobooks",103
"Photography",104
"Places",105
"Playing Cards",106
"Plays",107
"Poetry",108
"Pop",109
"Pottery",110
"Print",111
"Printing",112
"Product Design",113
"Public Art",114
"Publishing",115
"Punk",116
"Puzzles",117
"Quilts",118
"R&B",119
"Radio & Podcasts",120
"Ready-to-wear",121
"Residencies",122
"Restaurants",123
"Robots",124
"Rock",125
"Romance",126
"Science Fiction",127
"Sculpture",128
"Shorts",129
"Small Batch",130
"Software",131
"Sound",132
"Space Exploration",133
"Spaces",134
"Stationery",135
"Tabletop Games",136
"Taxidermy",137
"Technology",138
"Television",139
"Textiles",140
"Theater",141
"Thrillers",142
"Translations",143
"Typography",144
"Vegan",145
"Video",146
"Video Art",147
"Video Games",148
"Wearables",149
"Weaving",150
"Web",151
"Webcomics",152
"Webseries",153
"Woodworking",154
"Workshops",155
"World Music",156
"Young Adult",157
"Zines",158